timestamp,imu_id,accel_x,accel_y,accel_z,roll,pitch,yaw
0.0,1,0.25,-0.929,0.098,-84.3,-15.5,-55.8
0.0,2,0.262,0.912,0.106,84.0,-14.8,105.4
0.0,3,0.986,0.066,0.212,5.7,-77.2,56.4
0.0,4,0.977,-0.083,-0.282,-167.1,-73.1,125.5
0.0,5,0.93,-0.137,-0.404,-163.8,-66.4,-37.8
0.034,1,0.25,-0.965,0.094,-84.3,-15.3,-55.7
0.034,2,0.225,0.933,0.116,83.8,-14.6,105.5
0.034,3,0.993,0.063,0.217,7.5,-77.1,53.9
0.034,4,0.953,-0.046,-0.31,-167.1,-71.7,125.6
0.034,5,0.942,-0.103,-0.427,-164.8,-65.1,-37.1
0.068,1,0.245,-0.965,0.08,-84.3,-15.1,-55.7
0.068,2,0.21,0.942,0.094,84.0,-14.0,105.2
0.068,3,0.987,0.03,0.231,8.5,-76.9,53.2
0.068,4,0.957,-0.085,-0.325,-166.6,-70.5,125.1
0.068,5,0.9,-0.132,-0.488,-165.5,-62.7,-36.6
0.102,1,0.242,-0.948,0.074,-84.3,-15.0,-55.7
0.102,2,0.208,0.982,0.11,84.3,-13.1,104.6
0.102,3,0.994,-0.005,0.205,8.0,-76.9,53.5
0.102,4,0.953,-0.05,-0.371,-166.7,-69.0,125.3
0.102,5,0.904,-0.133,-0.466,-165.5,-61.8,-36.6
0.136,1,0.25,-0.943,0.077,-84.3,-15.0,-55.7
0.136,2,0.217,0.994,0.103,84.4,-12.5,104.2
0.136,3,0.999,-0.032,0.188,5.8,-77.2,55.6
0.136,4,0.931,-0.1,-0.36,-166.3,-67.8,124.9
0.136,5,0.882,-0.122,-0.479,-166.0,-60.7,-36.2
0.17,1,0.255,-0.937,0.074,-84.4,-14.9,-55.8
0.17,2,0.263,0.991,0.068,84.5,-12.4,103.9
0.17,3,1.001,-0.032,0.182,4.0,-77.5,57.4
0.17,4,0.942,-0.137,-0.379,-164.7,-66.4,123.6
0.17,5,0.888,-0.146,-0.513,-166.4,-59.1,-35.8
0.204,1,0.25,-0.943,0.079,-84.5,-14.8,-55.9
0.204,2,0.277,0.991,0.04,84.9,-12.7,103.9
0.204,3,1.0,-0.008,0.181,2.8,-77.9,58.4
0.204,4,0.905,-0.108,-0.417,-163.9,-65.2,123.1
0.204,5,0.882,-0.111,-0.537,-166.7,-58.0,-35.4
0.239,1,0.251,-0.956,0.085,-84.6,-14.6,-56.0
0.239,2,0.275,0.982,0.028,85.3,-13.0,103.9
0.239,3,0.997,0.023,0.183,3.0,-78.1,57.8
0.239,4,0.918,-0.1,-0.424,-164.2,-64.2,123.6
0.239,5,0.845,-0.102,-0.571,-167.4,-56.8,-34.7
0.273,1,0.258,-0.958,0.083,-84.7,-14.4,-56.0
0.273,2,0.259,0.969,0.036,85.7,-13.3,103.7
0.273,3,1.003,0.034,0.174,4.0,-78.3,56.6
0.273,4,0.899,-0.143,-0.445,-163.7,-62.9,123.4
0.273,5,0.877,-0.125,-0.565,-167.6,-55.8,-34.3
0.307,1,0.26,-0.957,0.084,-84.8,-14.2,-56.0
0.307,2,0.243,0.969,0.063,85.9,-13.4,103.4
0.307,3,1.002,0.034,0.175,5.6,-78.7,54.9
0.307,4,0.887,-0.124,-0.469,-163.5,-61.8,123.4
0.307,5,0.853,-0.119,-0.586,-167.8,-54.5,-33.8
0.342,1,0.259,-0.962,0.084,-84.9,-14.1,-55.9
0.342,2,0.223,0.974,0.073,86.0,-13.3,103.1
0.342,3,1.006,0.028,0.184,6.5,-78.9,53.9
0.342,4,0.888,-0.114,-0.483,-164.2,-60.5,124.0
0.342,5,0.841,-0.138,-0.604,-167.8,-53.5,-33.7
0.376,1,0.262,-0.977,0.084,-85.1,-13.9,-55.8
0.376,2,0.197,0.999,0.088,86.1,-12.8,103.0
0.376,3,1.025,0.022,0.185,7.1,-79.2,53.2
0.376,4,0.894,-0.119,-0.48,-164.7,-59.8,124.4
0.376,5,0.841,-0.146,-0.596,-167.8,-52.9,-33.6
0.41,1,0.256,-0.98,0.083,-85.2,-13.7,-55.7
0.41,2,0.189,1.007,0.089,86.1,-12.3,102.8
0.41,3,1.012,0.021,0.175,7.4,-79.4,52.7
0.41,4,0.882,-0.115,-0.479,-164.8,-58.9,124.7
0.41,5,0.815,-0.13,-0.61,-167.9,-51.8,-33.2
0.444,1,0.249,-0.962,0.081,-85.2,-13.6,-55.7
0.444,2,0.19,0.989,0.076,86.2,-11.7,102.6
0.444,3,0.999,0.016,0.163,7.7,-79.8,52.2
0.444,4,0.859,-0.127,-0.508,-164.8,-58.0,124.8
0.444,5,0.792,-0.129,-0.623,-168.3,-51.0,-32.8
0.478,1,0.242,-0.947,0.086,-85.3,-13.6,-55.7
0.478,2,0.208,0.994,0.056,86.3,-11.5,102.3
0.478,3,1.019,0.01,0.156,7.5,-80.1,52.3
0.478,4,0.868,-0.129,-0.514,-164.7,-57.3,124.8
0.478,5,0.8,-0.132,-0.642,-168.7,-50.0,-32.4
0.512,1,0.239,-0.955,0.096,-85.2,-13.4,-55.7
0.512,2,0.223,1.004,0.044,86.6,-11.4,102.1
0.512,3,1.017,0.01,0.15,7.3,-80.4,52.4
0.512,4,0.86,-0.138,-0.494,-164.3,-56.5,124.7
0.512,5,0.821,-0.113,-0.626,-169.2,-49.5,-32.1
0.546,1,0.231,-0.95,0.091,-85.1,-13.3,-55.7
0.546,2,0.209,0.975,0.024,87.0,-11.4,101.7
0.546,3,1.002,0.011,0.138,6.9,-80.7,52.6
0.546,4,0.824,-0.158,-0.543,-163.8,-55.7,124.5
0.546,5,0.752,-0.109,-0.65,-169.9,-48.9,-31.7
0.58,1,0.226,-0.954,0.092,-85.0,-13.2,-55.6
0.58,2,0.195,0.982,0.029,87.3,-11.2,101.4
0.58,3,1.014,0.017,0.13,7.0,-81.0,52.4
0.58,4,0.832,-0.194,-0.571,-162.9,-54.4,124.0
0.58,5,0.756,-0.11,-0.705,-170.8,-47.6,-31.2
0.615,1,0.224,-0.98,0.098,-84.8,-13.0,-55.6
0.615,2,0.194,1.006,0.04,87.5,-11.0,100.8
0.615,3,1.036,0.028,0.113,8.2,-81.5,51.0
0.615,4,0.843,-0.183,-0.576,-162.7,-53.6,124.0
0.615,5,0.806,-0.127,-0.689,-171.1,-47.0,-31.0
0.649,1,0.222,-0.995,0.09,-84.7,-12.8,-55.4
0.649,2,0.177,1.004,0.036,87.6,-10.8,100.5
0.649,3,1.032,0.034,0.098,9.8,-81.9,49.3
0.649,4,0.801,-0.178,-0.558,-162.5,-52.6,124.0
0.649,5,0.739,-0.089,-0.705,-171.7,-46.0,-30.6
0.683,1,0.216,-0.99,0.078,-84.7,-12.6,-55.2
0.683,2,0.168,0.999,0.038,87.6,-10.5,100.2
0.683,3,1.029,0.038,0.107,12.3,-82.3,46.5
0.683,4,0.772,-0.174,-0.602,-162.6,-51.5,124.3
0.683,5,0.757,-0.102,-0.725,-172.3,-45.2,-30.3
0.717,1,0.214,-1.0,0.069,-84.7,-12.5,-55.0
0.717,2,0.154,1.004,0.049,87.5,-10.0,99.8
0.717,3,1.03,0.052,0.089,15.5,-82.6,43.2
0.717,4,0.847,-0.159,-0.601,-162.8,-50.8,124.8
0.717,5,0.787,-0.14,-0.712,-172.4,-44.7,-30.2
0.751,1,0.21,-0.984,0.055,-84.8,-12.4,-54.7
0.751,2,0.155,0.987,0.036,87.4,-9.7,99.5
0.751,3,1.013,0.033,0.088,18.0,-82.9,40.4
0.751,4,0.782,-0.162,-0.593,-163.2,-50.3,125.4
0.751,5,0.652,-0.065,-0.717,-172.9,-43.7,-29.9
0.784,1,0.214,-0.955,0.038,-85.1,-12.4,-54.2
0.784,2,0.161,0.986,0.032,87.3,-9.4,99.0
0.784,3,1.018,0.026,0.104,19.4,-83.1,39.1
0.784,4,0.716,-0.193,-0.628,-163.2,-49.2,125.6
0.784,5,0.727,-0.097,-0.729,-173.5,-43.0,-29.6
0.819,1,0.209,-0.977,0.043,-85.3,-12.5,-53.8
0.819,2,0.154,1.013,0.049,87.0,-9.2,98.9
0.819,3,1.046,0.041,0.094,20.6,-83.1,38.0
0.819,4,0.82,-0.198,-0.626,-162.9,-48.4,125.7
0.819,5,0.759,-0.096,-0.751,-173.8,-42.6,-29.4
0.853,1,0.215,-0.982,0.044,-85.6,-12.5,-53.3
0.853,2,0.158,1.012,0.043,86.9,-9.0,98.9
0.853,3,1.036,0.034,0.064,22.7,-83.4,35.8
0.853,4,0.749,-0.197,-0.641,-162.9,-47.9,125.8
0.853,5,0.651,-0.046,-0.758,-174.3,-41.8,-29.0
0.888,1,0.211,-0.973,0.047,-85.8,-12.5,-53.0
0.888,2,0.155,1.008,0.05,86.4,-8.9,99.2
0.888,3,1.032,0.044,0.071,25.2,-83.6,33.2
0.888,4,0.7,-0.184,-0.659,-163.0,-46.7,126.3
0.888,5,0.667,-0.035,-0.783,-175.4,-40.6,-28.5
0.922,1,0.203,-0.993,0.062,-85.9,-12.3,-52.8
0.922,2,0.145,1.02,0.078,85.9,-8.8,99.3
0.922,3,1.06,0.047,0.084,27.0,-83.6,31.4
0.922,4,0.784,-0.19,-0.679,-163.1,-46.2,126.7
0.922,5,0.779,-0.083,-0.785,-175.8,-40.5,-28.4
0.956,1,0.201,-0.994,0.071,-85.8,-12.2,-52.7
0.956,2,0.155,1.027,0.063,85.7,-8.7,99.3
0.956,3,1.052,0.012,0.054,26.6,-83.8,31.8
0.956,4,0.805,-0.201,-0.676,-163.1,-46.0,126.9
0.956,5,0.626,-0.082,-0.793,-175.6,-39.9,-28.4
0.99,1,0.192,-0.974,0.076,-85.8,-12.0,-52.6
0.99,2,0.184,1.029,0.049,85.6,-8.8,99.4
0.99,3,1.043,0.018,0.048,26.0,-83.9,32.3
0.99,4,0.587,-0.205,-0.698,-163.1,-44.6,127.3
0.99,5,0.626,-0.024,-0.797,-176.2,-38.5,-27.9
1.024,1,0.192,-0.991,0.094,-85.5,-11.8,-52.6
1.024,2,0.167,1.034,0.067,85.4,-8.9,99.7
1.024,3,1.058,0.033,0.073,25.2,-84.0,32.9
1.024,4,0.698,-0.204,-0.708,-163.2,-43.6,127.5
1.024,5,0.621,-0.072,-0.797,-176.4,-37.9,-27.8
1.058,1,0.191,-1.022,0.108,-85.2,-11.6,-52.6
1.058,2,0.187,1.046,0.074,85.1,-9.1,100.0
1.058,3,1.078,0.006,0.052,22.4,-84.1,35.7
1.058,4,0.793,-0.195,-0.697,-163.3,-43.5,127.9
1.058,5,0.556,-0.051,-0.803,-176.4,-36.7,-27.7
1.092,1,0.186,-1.023,0.108,-84.8,-11.3,-52.7
1.092,2,0.188,1.05,0.097,84.7,-9.4,100.3
1.092,3,1.087,0.035,0.058,21.7,-84.1,36.4
1.092,4,0.609,-0.216,-0.721,-163.2,-42.7,128.0
1.092,5,0.642,-0.054,-0.842,-176.7,-36.1,-27.7
1.126,1,0.2,-1.06,0.114,-84.5,-11.1,-52.9
1.126,2,0.167,1.069,0.108,84.4,-9.5,100.5
1.126,3,1.125,0.03,0.076,21.1,-84.1,37.1
1.126,4,0.616,-0.196,-0.733,-163.4,-41.6,128.2
1.126,5,0.644,-0.081,-0.842,-176.7,-35.7,-27.8
1.16,1,0.218,-1.079,0.108,-84.2,-11.0,-53.2
1.16,2,0.189,1.091,0.111,84.2,-9.7,100.6
1.16,3,1.14,0.013,0.071,18.3,-84.0,40.1
1.16,4,0.735,-0.219,-0.745,-163.5,-41.2,128.4
1.16,5,0.536,-0.03,-0.854,-176.8,-35.0,-27.7
1.194,1,0.247,-1.092,0.081,-84.2,-11.2,-53.8
1.194,2,0.197,1.091,0.106,84.1,-9.9,100.6
1.194,3,1.147,0.039,0.063,17.7,-83.9,40.8
1.194,4,0.69,-0.224,-0.751,-163.6,-41.1,128.5
1.194,5,0.601,-0.032,-0.859,-177.1,-34.5,-27.5
