
nvidia@nvidia-desktop:~/Desktop$ python3 6imu.py
IMU 0 initialized on TCA Channel 0
IMU 1 initialized on TCA Channel 1
IMU 2 initialized on TCA Channel 2
IMU 3 initialized on TCA Channel 3
IMU 4 initialized on TCA Channel 4
IMU 5 initialized on TCA Channel 5

Starting data stream (50Hz)... Press Ctrl+C to stop.

----------------------------------------------------------------------------------------
Rel_Time(s)  | ID |  Accel_X  Accel_Y  Accel_Z |    Roll   Pitch     Yaw
   0.572 | 4  |         Comm Error         |            -           
   0.572 | 5  |    0.969   -0.050    0.271 |   -10.9   -73.3   -19.9
   0.610 | 0  |    0.871   -0.053   -0.548 |  -174.5   -57.7   -28.6
   0.610 | 1  |         Comm Error         |            -           
   0.610 | 2  |    0.109    0.222    0.982 |    12.7    -6.9  -102.8
   0.610 | 3  |         Comm Error         |            -           
   0.610 | 4  |         Comm Error         |            -           
   0.610 | 5  |    0.966   -0.054    0.274 |   -11.0   -73.3   -19.9
   0.648 | 0  |    0.875   -0.056   -0.550 |  -174.3   -57.7   -28.7
   0.648 | 1  |         Comm Error         |            -           
   0.648 | 2  |    0.120    0.223    0.979 |    12.8    -6.8  -102.8
   0.648 | 3  |         Comm Error         |            -           
   0.648 | 4  |         Comm Error         |            -           
   0.648 | 5  |    0.967   -0.055    0.269 |   -11.2   -73.3   -19.8
   0.686 | 0  |    0.872   -0.061   -0.547 |  -174.1   -57.7   -29.0
   0.686 | 1  |         Comm Error         |            -           
   0.686 | 2  |    0.108    0.223    0.977 |    12.9    -6.8  -102.8
   0.686 | 3  |         Comm Error         |            -           
   0.686 | 4  |         Comm Error         |            -           
   0.686 | 5  |    0.969   -0.052    0.273 |   -11.3   -73.3   -19.7
   0.724 | 0  |    0.874   -0.061   -0.537 |  -173.9   -57.8   -29.2
   0.724 | 1  |         Comm Error         |            -           
   0.724 | 2  |    0.115    0.229    0.961 |    13.0    -6.7  -102.7
   0.724 | 3  |         Comm Error         |            -           
   0.724 | 4  |         Comm Error         |            -           
   0.724 | 5  |    0.969   -0.051    0.263 |   -11.3   -73.4   -19.8
   0.763 | 0  |    0.862   -0.058   -0.534 |  -173.7   -57.8   -29.3
   0.763 | 1  |         Comm Error         |            -           
   0.763 | 2  |    0.139    0.225    0.954 |    13.2    -7.0  -102.7
   0.763 | 3  |         Comm Error         |            -           
   0.763 | 4  |         Comm Error         |            -           
   0.763 | 5  |    0.963   -0.055    0.272 |   -11.4   -73.3   -19.8
   0.801 | 0  |    0.863   -0.062   -0.534 |  -173.6   -57.9   -29.5
   0.801 | 1  |         Comm Error         |            -           
   0.801 | 2  |    0.128    0.224    0.945 |    13.3    -7.2  -102.7
   0.801 | 3  |         Comm Error         |            -           
   0.801 | 4  |         Comm Error         |            -           
   0.801 | 5  |    0.964   -0.049    0.271 |   -11.3   -73.2   -20.0
   0.838 | 0  |    0.870   -0.066   -0.535 |  -173.4   -57.9   -29.7
   0.838 | 1  |         Comm Error         |            -           
   0.838 | 2  |    0.134    0.231    0.950 |    13.3    -7.3  -102.7
   0.838 | 3  |         Comm Error         |            -           
   0.838 | 4  |         Comm Error         |            -           
   0.838 | 5  |    0.966   -0.054    0.271 |   -11.2   -73.2   -20.3
   0.876 | 0  |    0.873   -0.061   -0.539 |  -173.5   -58.0   -29.8
   0.876 | 1  |         Comm Error         |            -           
   0.876 | 2  |    0.119    0.228    0.959 |    13.3    -7.2  -102.6
   0.876 | 3  |         Comm Error         |            -           
   0.876 | 4  |         Comm Error         |            -           
   0.876 | 5  |    0.963   -0.062    0.270 |   -11.3   -73.2   -20.2
   0.915 | 0  |    0.876   -0.065   -0.537 |  -173.5   -58.0   -29.8
   0.915 | 1  |         Comm Error         |            -           
   0.915 | 2  |    0.140    0.225    0.953 |    13.3    -7.4  -102.6
   0.915 | 3  |         Comm Error         |            -           
   0.915 | 4  |         Comm Error         |            -           
   0.915 | 5  |    0.962   -0.058    0.272 |   -11.4   -73.2   -20.3
   0.953 | 0  |    0.878   -0.066   -0.536 |  -173.4   -58.1   -29.9
   0.953 | 1  |         Comm Error         |            -           
   0.953 | 2  |    0.125    0.225    0.960 |    13.3    -7.5  -102.6
   0.953 | 3  |         Comm Error         |            -           
   0.953 | 4  |         Comm Error         |            -           
   0.953 | 5  |    0.966   -0.055    0.268 |   -11.3   -73.1   -20.5
   0.992 | 0  |    0.874   -0.067   -0.534 |  -173.4   -58.1   -30.0
   0.992 | 1  |         Comm Error         |            -           
   0.992 | 2  |    0.131    0.233    0.962 |    13.3    -7.5  -102.6
   0.992 | 3  |         Comm Error         |            -           
   0.992 | 4  |         Comm Error         |            -           
   0.992 | 5  |    0.961   -0.054    0.281 |   -11.0   -73.0   -20.7
   1.030 | 0  |    0.868   -0.060   -0.533 |  -173.5   -58.1   -29.9
   1.030 | 1  |         Comm Error         |            -           
   1.030 | 2  |    0.132    0.223    0.959 |    13.2    -7.6  -102.6
   1.030 | 3  |         Comm Error         |            -           
   1.030 | 4  |         Comm Error         |            -           
   1.030 | 5  |    0.965   -0.053    0.274 |   -10.8   -73.0   -21.0
   1.068 | 0  |    0.876   -0.060   -0.535 |  -173.7   -58.1   -29.9
   1.068 | 1  |         Comm Error         |            -           
   1.068 | 2  |    0.133    0.229    0.975 |    13.1    -7.6  -102.6
   1.068 | 3  |         Comm Error         |            -           
   1.068 | 4  |         Comm Error         |            -           
   1.068 | 5  |    0.962   -0.055    0.274 |   -10.7   -73.0   -21.2
   1.106 | 0  |    0.880   -0.055   -0.534 |  -174.0   -58.2   -29.7
   1.106 | 1  |         Comm Error         |            -           
   1.106 | 2  |    0.119    0.235    0.987 |    13.0    -7.6  -102.6
   1.106 | 3  |         Comm Error         |            -           
   1.106 | 4  |         Comm Error         |            -           
   1.106 | 5  |    0.965   -0.058    0.275 |   -10.7   -73.0   -21.2
   1.143 | 0  |    0.877   -0.054   -0.530 |  -174.2   -58.3   -29.5
   1.143 | 1  |         Comm Error         |            -           
   1.143 | 2  |    0.132    0.231    0.993 |    13.0    -7.6  -102.6
   1.143 | 3  |         Comm Error         |            -           
   1.143 | 4  |         Comm Error         |            -           
   1.143 | 5  |    0.968   -0.054    0.279 |   -10.6   -73.0   -21.3
