
Stream stopped by user.
nvidia@nvidia-desktop:~/Desktop$ python3 6imu.py
IMU 0 initialized on TCA Channel 0
IMU 1 initialized on TCA Channel 1
IMU 2 initialized on TCA Channel 2
IMU 3 initialized on TCA Channel 3
IMU 4 initialized on TCA Channel 4
IMU 5 initialized on TCA Channel 5

Starting data stream (50Hz)... Press Ctrl+C to stop.

----------------------------------------------------------------------------------------
Rel_Time(s)  | ID |  Accel_X  Accel_Y  Accel_Z |    Roll   Pitch     Yaw
   0.579 | 2  |    0.210   -0.965   -0.116 |   -96.3   -11.5   -56.5
   0.579 | 3  |         Comm Error         |            -           
   0.579 | 4  |         Comm Error         |            -           
   0.579 | 5  |    0.980   -0.070    0.221 |   -19.5   -75.9    51.3
   0.616 | 0  |    0.718   -0.060   -0.723 |  -175.7   -44.8  -159.2
   0.616 | 1  |         Comm Error         |            -           
   0.616 | 2  |    0.219   -0.962   -0.116 |   -96.3   -11.6   -56.2
   0.616 | 3  |         Comm Error         |            -           
   0.616 | 4  |         Comm Error         |            -           
   0.616 | 5  |    0.975   -0.075    0.214 |   -19.5   -75.9    51.5
   0.654 | 0  |    0.721   -0.061   -0.726 |  -175.6   -44.7  -159.2
   0.654 | 1  |         Comm Error         |            -           
   0.654 | 2  |    0.222   -0.959   -0.115 |   -96.4   -11.8   -56.0
   0.654 | 3  |         Comm Error         |            -           
   0.654 | 4  |         Comm Error         |            -           
   0.654 | 5  |    0.976   -0.076    0.219 |   -19.6   -75.9    51.7
   0.693 | 0  |    0.717   -0.060   -0.726 |  -175.4   -44.6  -159.2
   0.693 | 1  |         Comm Error         |            -           
   0.693 | 2  |    0.218   -0.960   -0.112 |   -96.4   -11.9   -56.0
   0.693 | 3  |         Comm Error         |            -           
   0.693 | 4  |         Comm Error         |            -           
   0.693 | 5  |    0.981   -0.075    0.218 |   -19.6   -75.9    51.8
   0.731 | 0  |    0.713   -0.060   -0.729 |  -175.3   -44.4  -159.3
   0.731 | 1  |         Comm Error         |            -           
   0.731 | 2  |    0.214   -0.966   -0.111 |   -96.3   -11.9   -56.0
   0.731 | 3  |         Comm Error         |            -           
   0.731 | 4  |         Comm Error         |            -           
   0.731 | 5  |    0.979   -0.079    0.216 |   -19.7   -75.9    52.0
   0.771 | 0  |    0.714   -0.063   -0.731 |  -175.3   -44.3  -159.3
   0.771 | 1  |         Comm Error         |            -           
   0.771 | 2  |    0.208   -0.963   -0.110 |   -96.3   -11.9   -56.0
   0.771 | 3  |         Comm Error         |            -           
   0.771 | 4  |         Comm Error         |            -           
   0.771 | 5  |    0.975   -0.078    0.212 |   -19.9   -76.0    52.2
