
IMU Data Stream (50Hz)

----------------------------------------------------------------------------------------
Rel_Time(s)  | ID |  Accel_X  Accel_Y  Accel_Z |    Roll   Pitch     Yaw
    0.446 | 2  |    0.285    0.967    0.098 |     83.7    -16.1      3.4
    0.446 | 3  |    0.989   -0.029    0.253 |     -6.8    -74.3   -165.8
    0.446 | 4  |    1.007   -0.014    0.009 |    -55.2    -85.2   -158.4
    0.446 | 5  |    1.017   -0.084   -0.152 |   -149.6    -79.3    -21.6
    0.480 | 1  |    0.313   -0.940    0.126 |    -82.4    -18.0    130.6
    0.480 | 2  |    0.285    0.964    0.092 |     83.7    -16.2      3.3
    0.480 | 3  |    0.992   -0.027    0.258 |     -6.8    -74.3   -165.8
    0.480 | 4  |    1.008   -0.013    0.008 |    -53.5    -85.2   -159.8
    0.480 | 5  |    1.016   -0.087   -0.150 |   -149.5    -79.3    -21.7
    0.514 | 1  |    0.309   -0.943    0.124 |    -82.4    -18.0    130.6
    0.514 | 2  |    0.282    0.966    0.098 |     83.8    -16.2      3.3
    0.514 | 3  |    0.988   -0.027    0.257 |     -6.8    -74.4   -165.9
    0.514 | 4  |    1.009   -0.017    0.008 |    -54.0    -85.2   -159.3
    0.514 | 5  |    1.018   -0.083   -0.139 |   -149.3    -79.4    -21.9
    0.548 | 1  |    0.305   -0.945    0.123 |    -82.3    -18.0    130.7
    0.548 | 2  |    0.279    0.967    0.102 |     83.8    -16.2      3.3
    0.548 | 3  |    0.989   -0.033    0.256 |     -6.8    -74.4   -165.8
    0.548 | 4  |    1.010   -0.010    0.002 |    -54.5    -85.2   -158.1
    0.548 | 5  |    1.018   -0.089   -0.156 |   -149.3    -79.4    -21.9
    0.582 | 1  |    0.302   -0.946    0.122 |    -82.3    -18.0    130.7
    0.582 | 2  |    0.278    0.965    0.100 |     83.8    -16.2      3.3
    0.582 | 3  |    0.991   -0.032    0.259 |     -6.9    -74.4   -165.8
    0.582 | 4  |    1.010   -0.015    0.006 |    -54.6    -85.2   -158.0
    0.582 | 5  |    1.017   -0.086   -0.149 |   -149.6    -79.3    -21.7
