
IMU Data Stream (50Hz)

----------------------------------------------------------------------------------------
Rel_Time(s)  | ID |  Accel_X  Accel_Y  Accel_Z |    Roll   Pitch     Yaw
----------------------------------------------------------------------------------------
    0.000 | 1  |    0.986   -0.165    0.119 |    -51.9    -77.3    154.9
    0.000 | 2  |    1.003    0.078    0.071 |     46.5    -82.1   -172.3
    0.000 | 3  |    0.997   -0.017    0.237 |     -3.3    -75.6    122.9
    0.000 | 4  |    1.009    0.001   -0.005 |    -55.4    -85.3     51.5
    0.000 | 5  |    1.020   -0.067   -0.121 |   -150.3    -81.0     15.2
    0.035 | 1  |    0.985   -0.170    0.119 |    -52.3    -77.2    155.3
    0.035 | 2  |    1.015    0.082    0.067 |     46.7    -82.1   -172.6
    0.035 | 3  |    0.995   -0.015    0.234 |     -3.3    -75.6    123.0
    0.035 | 4  |    1.008    0.001   -0.003 |    -55.8    -85.3     51.0
    0.035 | 5  |    1.024   -0.063   -0.125 |   -150.3    -81.0     15.2
    0.068 | 1  |    0.987   -0.164    0.118 |    -52.4    -77.3    155.4
    0.068 | 2  |    1.004    0.083    0.072 |     46.5    -82.1   -172.4
    0.068 | 3  |    0.996   -0.015    0.235 |     -3.3    -75.7    122.9
    0.068 | 4  |    1.010    0.002   -0.001 |    -52.1    -85.3     47.7
    0.068 | 5  |    1.023   -0.067   -0.126 |   -150.3    -81.0     15.0
    0.102 | 1  |    0.985   -0.165    0.120 |    -52.4    -77.3    155.4
    0.102 | 2  |    0.999    0.084    0.071 |     46.4    -82.1   -172.3
    0.102 | 3  |    0.995   -0.019    0.234 |     -3.4    -75.7    123.1
    0.102 | 4  |    1.009    0.000   -0.005 |    -54.0    -85.3     48.6
    0.102 | 5  |    1.021   -0.070   -0.118 |   -150.0    -81.0     14.7
    0.137 | 1  |    0.982   -0.165    0.119 |    -52.4    -77.3    155.4
    0.137 | 2  |    0.995    0.085    0.075 |     46.3    -82.1   -172.2
    0.137 | 3  |    0.994   -0.010    0.231 |     -3.4    -75.7    123.0
    0.137 | 4  |    1.008   -0.002   -0.004 |    -59.3    -85.3     52.8
    0.137 | 5  |    1.022   -0.065   -0.119 |   -149.7    -81.0     14.3
    0.171 | 1  |    0.987   -0.161    0.118 |    -52.5    -77.3    155.6
    0.171 | 2  |    0.994    0.086    0.074 |     46.4    -82.1   -172.2
    0.171 | 3  |    0.994   -0.011    0.235 |     -3.3    -75.7    122.9
    0.171 | 4  |    1.009   -0.001   -0.002 |    -58.8    -85.3     51.8
    0.171 | 5  |    1.022   -0.071   -0.127 |   -149.6    -81.0     14.1
    0.205 | 1  |    0.984   -0.166    0.117 |    -52.7    -77.4    155.7
    0.205 | 2  |    0.990    0.081    0.071 |     46.3    -82.1   -172.1
    0.205 | 3  |    0.996   -0.017    0.238 |     -3.4    -75.7    123.0
    0.205 | 4  |    1.009   -0.000   -0.002 |    -57.3    -85.3     50.1
    0.205 | 5  |    1.023   -0.068   -0.121 |   -149.4    -81.0     13.9
    0.240 | 1  |    0.985   -0.166    0.116 |    -52.9    -77.4    155.9
    0.240 | 2  |    0.999    0.081    0.073 |     46.2    -82.1   -172.0
    0.240 | 3  |    0.997   -0.014    0.236 |     -3.4    -75.7    123.0
    0.240 | 4  |    1.010    0.001   -0.003 |    -56.0    -85.3     48.7
    0.240 | 5  |    1.022   -0.072   -0.123 |   -149.2    -81.0     13.6
    0.274 | 1  |    0.987   -0.163    0.114 |    -53.1    -77.4    156.1
    0.274 | 2  |    1.000    0.083    0.069 |     46.2    -82.1   -172.0
    0.274 | 3  |    0.997   -0.016    0.237 |     -3.5    -75.7    123.0
    0.274 | 4  |    1.009   -0.000   -0.003 |    -57.6    -85.3     50.0
    0.274 | 5  |    1.021   -0.067   -0.120 |   -149.0    -81.0     13.4
    0.308 | 1  |    0.987   -0.165    0.112 |    -53.3    -77.4    156.4
    0.308 | 2  |    1.006    0.083    0.073 |     46.3    -82.1   -172.1
    0.308 | 3  |    0.995   -0.017    0.235 |     -3.5    -75.7    123.1
    0.308 | 4  |    1.009    0.000   -0.003 |    -56.6    -85.3     49.6
    0.308 | 5  |    1.022   -0.069   -0.122 |   -148.8    -81.0     13.2
    0.343 | 1  |    0.987   -0.164    0.116 |    -53.5    -77.4    156.5
    0.343 | 2  |    1.008    0.084    0.072 |     46.3    -82.0   -172.1
    0.343 | 3  |    0.996   -0.016    0.238 |     -3.6    -75.7    123.1
    0.343 | 4  |    1.005    0.002   -0.004 |    -56.7    -85.3     49.2
    0.343 | 5  |    1.024   -0.068   -0.121 |   -148.8    -81.0     13.1
    0.377 | 1  |    0.991   -0.163    0.122 |    -53.4    -77.4    156.5
    0.377 | 2  |    0.999    0.084    0.075 |     46.1    -82.0   -171.8
    0.377 | 3  |    0.996   -0.014    0.236 |     -3.6    -75.7    123.2
    0.377 | 4  |    1.011   -0.008   -0.002 |    -58.9    -85.3     51.0
    0.377 | 5  |    1.018   -0.073   -0.119 |   -148.5    -81.0     12.7
    0.411 | 1  |    0.985   -0.161    0.122 |    -53.3    -77.4    156.3
    0.411 | 2  |    0.995    0.087    0.076 |     46.0    -82.0   -171.7
    0.411 | 3  |    0.997   -0.018    0.235 |     -3.7    -75.7    123.2
    0.411 | 4  |    1.010   -0.009   -0.000 |    -62.1    -85.3     53.1
    0.411 | 5  |    1.020   -0.068   -0.115 |   -148.5    -81.1     12.7
    0.445 | 1  |    0.982   -0.167    0.126 |    -52.9    -77.4    156.0
    0.445 | 2  |    1.002    0.083    0.082 |     45.4    -81.9   -171.0
    0.445 | 3  |    0.994   -0.022    0.237 |     -3.9    -75.7    123.4
    0.445 | 4  |    1.008    0.009   -0.002 |    -54.4    -85.3     46.2
    0.445 | 5  |    1.022   -0.070   -0.118 |   -148.5    -81.1     12.7
    0.479 | 1  |    0.980   -0.168    0.125 |    -52.8    -77.4    155.8
    0.479 | 2  |    0.999    0.078    0.084 |     44.8    -81.9   -170.3
    0.479 | 3  |    0.996   -0.016    0.236 |     -3.9    -75.7    123.4
    0.479 | 4  |    1.011    0.003   -0.005 |    -51.4    -85.3     44.3
    0.479 | 5  |    1.022   -0.069   -0.120 |   -148.5    -81.1     12.8
    0.514 | 1  |    0.984   -0.169    0.125 |    -52.9    -77.3    156.0
    0.514 | 2  |    1.001    0.082    0.080 |     44.4    -81.9   -169.9
    0.514 | 3  |    1.000   -0.017    0.240 |     -3.9    -75.6    123.4
    0.514 | 4  |    1.010   -0.013   -0.002 |    -58.3    -85.3     49.5
    0.514 | 5  |    1.025   -0.067   -0.121 |   -148.7    -81.0     12.9
    0.548 | 1  |    0.991   -0.166    0.119 |    -52.9    -77.2    156.0
    0.548 | 2  |    1.000    0.082    0.079 |     44.2    -81.9   -169.7
    0.548 | 3  |    0.996   -0.009    0.238 |     -3.6    -75.7    123.1
    0.548 | 4  |    1.010   -0.005   -0.002 |    -59.7    -85.3     50.6
    0.548 | 5  |    1.020   -0.069   -0.118 |   -148.9    -81.0     13.0
    0.583 | 1  |    0.994   -0.167    0.112 |    -53.2    -77.3    156.3
