nvidia@nvidia-desktop:~/Desktop$ python3 6imu.py
IMU 0 initialized on TCA Channel 0
IMU 1 initialized on TCA Channel 1
IMU 2 initialized on TCA Channel 2
IMU 3 initialized on TCA Channel 3
IMU 4 initialized on TCA Channel 4
IMU 5 initialized on TCA Channel 5

Starting data stream (50Hz)... Press Ctrl+C to stop.

----------------------------------------------------------------------------------------
Rel_Time(s)  | ID |  Accel_X  Accel_Y  Accel_Z |    Roll   Pitch     Yaw
   0.576 | 2  |    0.427   -0.957   -0.074 |   -94.3   -22.8   -36.1
   0.576 | 3  |         Comm Error         |            -           
   0.576 | 4  |         Comm Error         |            -           
   0.576 | 5  |    0.982   -0.039    0.210 |    -9.2   -76.7    53.8
   0.615 | 0  |    0.724   -0.056   -0.723 |  -175.2   -44.6  -178.5
   0.615 | 1  |         Comm Error         |            -           
   0.615 | 2  |    0.488   -0.953   -0.072 |   -94.1   -24.6   -36.6
   0.615 | 3  |         Comm Error         |            -           
   0.615 | 4  |         Comm Error         |            -           
   0.615 | 5  |    0.982   -0.039    0.200 |    -9.3   -76.8    53.9
   0.653 | 0  |    0.715   -0.059   -0.725 |  -175.3   -44.5  -178.4
   0.653 | 1  |         Comm Error         |            -           
   0.653 | 2  |    0.522   -0.945   -0.058 |   -93.7   -27.5   -37.5
   0.653 | 3  |         Comm Error         |            -           
   0.653 | 4  |         Comm Error         |            -           
   0.653 | 5  |    0.981   -0.032    0.224 |    -9.0   -76.7    53.7
   0.692 | 0  |    0.709   -0.066   -0.729 |  -175.3   -44.4  -178.4
   0.692 | 1  |         Comm Error         |            -           
   0.692 | 2  |    0.554   -0.911   -0.049 |   -92.9   -30.6   -38.6
   0.692 | 3  |         Comm Error         |            -           
   0.692 | 4  |         Comm Error         |            -           
   0.692 | 5  |    0.983   -0.030    0.209 |    -8.8   -76.7    53.5
   0.730 | 0  |    0.710   -0.065   -0.731 |  -175.3   -44.3  -178.3
   0.730 | 1  |         Comm Error         |            -           
   0.730 | 2  |    0.595   -0.898   -0.045 |   -92.1   -33.7   -40.1
   0.730 | 3  |         Comm Error         |            -           
   0.730 | 4  |         Comm Error         |            -           
   0.730 | 5  |    0.984   -0.026    0.215 |    -8.4   -76.7    53.2
   0.768 | 0  |    0.717   -0.059   -0.734 |  -175.4   -44.2  -178.2
   0.768 | 1  |         Comm Error         |            -           
   0.768 | 2  |    0.590   -0.876   -0.026 |   -90.9   -36.5   -42.1
   0.768 | 3  |         Comm Error         |            -           
   0.768 | 4  |         Comm Error         |            -           
   0.768 | 5  |    0.982   -0.028    0.222 |    -8.1   -76.6    52.9
   0.806 | 0  |    0.714   -0.044   -0.734 |  -175.6   -44.2  -178.0
   0.806 | 1  |         Comm Error         |            -           
   0.806 | 2  |    0.586   -0.863   -0.005 |   -89.1   -38.8   -44.8
   0.806 | 3  |         Comm Error         |            -           
   0.806 | 4  |         Comm Error         |            -           
   0.806 | 5  |    0.980   -0.026    0.218 |    -7.8   -76.5    52.6
   0.844 | 0  |    0.712   -0.037   -0.730 |  -175.9   -44.1  -177.7
   0.844 | 1  |         Comm Error         |            -           
   0.844 | 2  |    0.617   -0.817   -0.012 |   -87.6   -40.4   -46.9
   0.844 | 3  |         Comm Error         |            -           
   0.844 | 4  |         Comm Error         |            -           
   0.844 | 5  |    0.982   -0.028    0.221 |    -7.7   -76.4    52.5
   0.882 | 0  |    0.713   -0.039   -0.732 |  -176.2   -44.1  -177.5
   0.882 | 1  |         Comm Error         |            -           
   0.882 | 2  |    0.644   -0.798    0.000 |   -86.1   -42.3   -49.5
   0.882 | 3  |         Comm Error         |            -           
   0.882 | 4  |         Comm Error         |            -           
   0.882 | 5  |    0.980   -0.025    0.220 |    -7.5   -76.3    52.3
   0.920 | 0  |    0.719   -0.039   -0.731 |  -176.4   -44.2  -177.5
   0.920 | 1  |         Comm Error         |            -           
   0.920 | 2  |    0.589   -0.770    0.047 |   -83.6   -43.6   -53.0
   0.920 | 3  |         Comm Error         |            -           
   0.920 | 4  |         Comm Error         |            -           
   0.920 | 5  |    0.978   -0.028    0.222 |    -7.4   -76.3    52.1
   0.958 | 0  |    0.719   -0.036   -0.724 |  -176.5   -44.2  -177.5
   0.958 | 1  |         Comm Error         |            -           
   0.958 | 2  |    0.642   -0.734    0.059 |   -81.7   -45.3   -55.3
   0.958 | 3  |         Comm Error         |            -           
   0.958 | 4  |         Comm Error         |            -           
   0.958 | 5  |    0.979   -0.029    0.221 |    -7.5   -76.2    52.0
   0.997 | 0  |    0.718   -0.041   -0.721 |  -176.6   -44.3  -177.6
   0.997 | 1  |         Comm Error         |            -           
   0.997 | 2  |    0.725   -0.708    0.058 |   -80.6   -47.6   -57.1
   0.997 | 3  |         Comm Error         |            -           
   0.997 | 4  |         Comm Error         |            -           
   0.997 | 5  |    0.980   -0.031    0.219 |    -7.7   -76.2    52.1
   1.035 | 0  |    0.714   -0.048   -0.718 |  -176.6   -44.3  -177.8
   1.035 | 1  |         Comm Error         |            -           
   1.035 | 2  |    0.712   -0.665    0.093 |   -79.2   -49.0   -59.0
   1.035 | 3  |         Comm Error         |            -           
   1.035 | 4  |         Comm Error         |            -           
   1.035 | 5  |    0.979   -0.031    0.220 |    -7.8   -76.2    52.2
   1.072 | 0  |    0.713   -0.058   -0.716 |  -176.4   -44.3  -178.2
   1.072 | 1  |         Comm Error         |            -           
   1.072 | 2  |    0.748   -0.634    0.118 |   -77.3   -50.8   -61.4
   1.072 | 3  |         Comm Error         |            -           
   1.072 | 4  |         Comm Error         |            -           
   1.072 | 5  |    0.978   -0.033    0.218 |    -7.9   -76.2    52.2
   1.111 | 0  |    0.712   -0.058   -0.717 |  -176.2   -44.4  -178.5
   1.111 | 1  |         Comm Error         |            -           
   1.111 | 2  |    0.751   -0.598    0.149 |   -75.2   -52.6   -63.9
   1.111 | 3  |         Comm Error         |            -           
   1.111 | 4  |         Comm Error         |            -           
   1.111 | 5  |    0.979   -0.032    0.218 |    -8.1   -76.2    52.3
   1.149 | 0  |    0.714   -0.056   -0.718 |  -176.1   -44.4  -178.7
   1.149 | 1  |         Comm Error         |            -           
   1.149 | 2  |    0.784   -0.565    0.171 |   -72.7   -54.1   -66.4
   1.149 | 3  |         Comm Error         |            -           
   1.149 | 4  |         Comm Error         |            -           
   1.149 | 5  |    0.980   -0.034    0.216 |    -8.2   -76.3    52.3
   1.187 | 0  |    0.713   -0.056   -0.722 |  -176.0   -44.4  -178.9
   1.187 | 1  |         Comm Error         |            -           
   1.187 | 2  |    0.806   -0.542    0.185 |   -70.3   -55.7   -68.9
   1.187 | 3  |         Comm Error         |            -           
   1.187 | 4  |         Comm Error         |            -           
   1.187 | 5  |    0.978   -0.037    0.221 |    -8.4   -76.3    52.5
   1.225 | 0  |    0.720   -0.056   -0.723 |  -175.9   -44.4  -179.0
   1.225 | 1  |         Comm Error         |            -           
   1.225 | 2  |    0.833   -0.507    0.206 |   -68.3   -57.2   -71.5
   1.225 | 3  |         Comm Error         |            -           
   1.225 | 4  |         Comm Error         |            -           
   1.225 | 5  |    0.980   -0.039    0.209 |    -8.7   -76.3    52.7
