timestamp,imu_id,accel_x,accel_y,accel_z,roll,pitch,yaw
0.0,1,0.274,-0.949,0.123,-82.4,-15.7,-139.8
0.0,2,0.228,0.98,0.078,84.8,-12.9,-18.1
0.0,3,1.001,-0.025,0.222,-6.5,-76.5,151.0
0.0,4,1.01,-0.004,-0.002,-30.9,-85.3,101.7
0.0,5,1.021,-0.064,-0.135,-152.7,-80.7,-71.4
0.035,1,0.275,-0.952,0.123,-82.4,-15.7,-139.8
0.035,2,0.226,0.983,0.077,84.8,-12.9,-18.1
0.035,3,1.003,-0.029,0.223,-6.6,-76.6,151.0
0.035,4,1.009,-0.001,0.0,-28.2,-85.3,92.2
0.035,5,1.023,-0.065,-0.134,-152.7,-80.7,-71.4
0.069,1,0.276,-0.952,0.125,-82.3,-15.8,-139.8
0.069,2,0.223,0.988,0.082,84.9,-12.8,-18.1
0.069,3,0.999,-0.029,0.217,-6.7,-76.6,151.1
0.069,4,1.009,-0.003,0.001,-28.3,-85.3,101.2
0.069,5,1.02,-0.061,-0.128,-152.8,-80.7,-71.3
0.103,1,0.274,-0.952,0.127,-82.3,-15.8,-139.9
0.103,2,0.221,0.983,0.083,84.9,-12.8,-18.1
0.103,3,1.001,-0.025,0.217,-6.7,-76.6,151.1
0.103,4,1.01,-0.003,-0.001,-30.2,-85.3,105.4
0.103,5,1.022,-0.065,-0.13,-152.7,-80.7,-71.3
0.138,1,0.273,-0.95,0.125,-82.3,-15.8,-139.8
0.138,2,0.224,0.98,0.088,84.8,-12.8,-18.1
0.138,3,0.998,-0.023,0.22,-6.6,-76.6,151.0
0.138,4,1.009,0.0,-0.001,-32.2,-85.3,112.2
0.138,5,1.022,-0.063,-0.134,-152.8,-80.7,-71.2
0.172,1,0.275,-0.95,0.123,-82.3,-15.8,-139.8
0.172,2,0.225,0.981,0.086,84.8,-12.8,-18.0
0.172,3,0.999,-0.024,0.219,-6.5,-76.6,150.9
0.172,4,1.011,-0.003,-0.003,-33.4,-85.3,111.3
0.172,5,1.023,-0.062,-0.131,-152.9,-80.7,-71.2
0.206,1,0.273,-0.954,0.121,-82.3,-15.8,-139.7
0.206,2,0.228,0.983,0.083,84.8,-12.8,-18.0
0.206,3,1.002,-0.022,0.22,-6.4,-76.6,150.8
0.206,4,1.01,0.0,-0.003,-32.9,-85.3,87.1
0.206,5,1.022,-0.062,-0.123,-152.8,-80.8,-71.2
0.241,1,0.273,-0.954,0.118,-82.3,-15.8,-139.7
0.241,2,0.223,0.985,0.085,84.7,-12.8,-18.0
0.241,3,1.001,-0.024,0.218,-6.2,-76.6,150.7
0.241,4,1.008,0.0,-0.001,-28.7,-85.3,55.9
0.241,5,1.022,-0.06,-0.135,-152.8,-80.8,-71.2
0.276,1,0.273,-0.952,0.118,-82.3,-15.8,-139.6
0.276,2,0.226,0.98,0.083,84.7,-12.8,-18.0
0.276,3,0.999,-0.021,0.215,-6.1,-76.6,150.7
0.276,4,1.008,0.001,-0.003,-24.0,-85.3,22.0
0.276,5,1.022,-0.063,-0.136,-153.0,-80.8,-71.0
0.31,1,0.274,-0.954,0.117,-82.4,-15.9,-139.6
0.31,2,0.225,0.98,0.086,84.7,-12.8,-17.9
0.31,3,1.003,-0.02,0.222,-5.9,-76.6,150.5
0.31,4,1.01,0.001,-0.0,-20.3,-85.3,12.7
0.31,5,1.023,-0.061,-0.134,-153.1,-80.8,-70.8
0.344,1,0.276,-0.953,0.116,-82.4,-15.9,-139.5
0.344,2,0.227,0.983,0.088,84.7,-12.8,-17.9
0.344,3,1.002,-0.022,0.221,-5.8,-76.6,150.4
0.344,4,1.011,-0.0,-0.001,-17.5,-85.3,9.6
0.344,5,1.022,-0.066,-0.129,-153.0,-80.8,-71.0
0.379,1,0.275,-0.953,0.117,-82.5,-15.9,-139.6
0.379,2,0.228,0.982,0.089,84.6,-12.8,-17.8
0.379,3,1.003,-0.022,0.22,-5.7,-76.6,150.4
0.379,4,1.009,0.002,-0.001,-11.5,-85.3,9.5
0.379,5,1.024,-0.053,-0.127,-153.2,-80.8,-70.7
0.413,1,0.275,-0.952,0.119,-82.5,-15.9,-139.6
0.413,2,0.231,0.98,0.089,84.6,-12.9,-17.8
0.413,3,1.0,-0.021,0.219,-5.6,-76.6,150.3
0.413,4,1.007,0.002,-0.002,-5.1,-85.3,4.0
0.413,5,1.019,-0.06,-0.125,-153.3,-80.9,-70.5
0.448,1,0.276,-0.951,0.12,-82.5,-15.9,-139.7
0.448,2,0.231,0.982,0.091,84.5,-12.9,-17.8
0.448,3,0.998,-0.022,0.219,-5.6,-76.6,150.3
0.448,4,1.009,0.003,-0.002,-0.4,-85.3,1.4
0.448,5,1.022,-0.059,-0.12,-153.1,-80.9,-70.6
0.482,1,0.271,-0.953,0.122,-82.4,-15.9,-139.8
0.482,2,0.224,0.987,0.088,84.5,-12.9,-17.8
